,original_organization_name,new_organization_name,organization_status,summary_of_organization,ten_keywords_describing_organization,estimated_funding,source_estimated_funding,estimated_number_of_employees,source_estimated_number_of_employees
981,U. S. Food and Drug Administration,U. S. Food and Drug Administration,['Active'],"The U.S. Food and Drug Administration (FDA) is a federal agency of the Department of Health and Human Services responsible for protecting public health by ensuring the safety and efficacy of drugs, biological products, and medical devices. It also oversees the regulation of food safety and the promotion of public health initiatives, including tobacco control.","['Health', 'Safety', 'Drug Regulation', 'Food Safety', 'Public Health', 'Tobacco Control', 'Efficacy', 'Biological Products', 'Medical Devices', 'Consumer Protection']",Not specifically available,FDA annual budget reports,"16,000",FDA staffing information
982,Department of the Interior,Office of Everglades Restoration Initiatives,['Active'],"The Office of Everglades Restoration Initiatives (OERI) coordinates interagency efforts to restore the Everglades ecosystem through comprehensive planning, scientific research, and public engagement. Established by Congress, the OERI supports various restoration programs aimed at improving water quality, protecting habitats, and managing invasive species in the Everglades.","['Everglades', 'Restoration', 'Ecology', 'Water Management', 'Ecosystem', 'Conservation', 'Scientific Research', 'Public Engagement', 'Interagency', 'Florida']",Not publicly available,Office of Everglades Restoration Initiatives reports,Not publicly available,Office of Everglades Restoration Initiatives organizational structure
983,Performance Accountability Council,,['Not Active'],"The Performance Accountability Council was intended to improve the performance of federal agencies by ensuring accountability and facilitating the use of best practices. However, due to lack of information, it appears that the organization is no longer active.","['accountability', 'performance', 'federal', 'oversight', 'management', 'efficiency', 'governance', 'strategy', 'evaluation', 'improvement']",N/A,N/A,N/A,N/A
984,USAID/GH.CECA,U.S. Agency for International Development,['Active'],"The U.S. Agency for International Development (USAID) is a United States government agency that implements foreign assistance programs globally. It aims to promote economic development, improve living conditions, and provide humanitarian assistance in various countries.","['International Development', 'Humanitarian Assistance', 'Foreign Aid', 'Economic Growth', 'Health Programs', 'Education', 'Disaster Relief', 'Capacity Building', 'Community Development', 'Sustainability']",$27.4 billion (FY 2022),USAID Budget Overview,"10,000+",USAID Human Resources
985,Office of Government Ethics,Office of Government Ethics,['Not Active'],"The Office of Government Ethics was responsible for overseeing the ethical conduct of executive branch employees and promoting integrity in government. The organization provided guidance on ethics regulations, administered financial disclosure programs, and enforced standards of ethical behavior.","['ethics', 'government', 'integrity', 'regulations', 'oversight', 'transparency', 'compliance', 'financial disclosure', 'public service', 'accountability']",N/A,N/A,N/A,N/A
986,Bureau of Information Resources Management (IRM),Foreign Affairs Network (FAN),['Active'],"The Foreign Affairs Network (FAN) is a U.S. Department of State cloud-based platform designed for secure communication, collaboration, and productivity applications within the realm of foreign affairs. It operates under the Federal Information Security Management Act (FISMA) regulations.","['Foreign Affairs', 'Cloud-Based', 'Secure Communication', 'Collaboration', 'Productivity Applications', 'Department of State', 'FISMA', 'Digital Platform', 'Networking', 'Resource Management']",N/A,N/A,N/A,N/A
987,Government Publishing Office,Government Publishing Office,['Active'],"The Government Publishing Office (GPO) provides access to U.S. government information and services. It publishes and disseminates government publications, both print and digital, and manages the Federal Depository Library Program.","['government', 'publishing', 'information', 'access', 'publications', 'digital', 'dissemination', 'federal', 'libraries', 'repository']",Not available,N/A,Not available,N/A
988,OPM Enterprise Human Resources Integration,Office of Personnel Management,['Active'],"The Office of Personnel Management (OPM) is the federal agency responsible for managing the civil service of the federal government, overseeing the recruitment, hiring, and human resources policies for federal agencies. OPM Enterprise Human Resources Integration focuses on enhancing the effectiveness of human resources across federal agencies through integration and innovative practices.","['human resources', 'federal employment', 'recruitment', 'civil service', 'staffing solutions', 'workforce planning', 'performance management', 'data analytics', 'diversity and inclusion', 'government efficiency']",Approximately $1.5 billion (2024 OPM Budget),OPM Congressional Budget Justification FY 2025,"Approximately 5,000",Office of Personnel Management Organizational Overview
989,Department of Defense,,['Not Active'],The Department of Defense is a federal agency responsible for coordinating and supervising all agencies and functions of the government related directly to national security and the armed forces.,"['Defense', 'National Security', 'Military', 'Government', 'Veterans', 'Homeland', 'Armed Forces', 'Intelligence', 'Operations', 'Strategic Planning']",Approximately $800 billion annually,U.S. Department of Defense Budget,"Approximately 3 million (including active duty, reserve, and civilian employees)",U.S. Department of Defense Human Resources Reports
990,Administration for Community Living,,['Not Active'],The Administration for Community Living (ACL) was focused on ensuring that older adults and people with disabilities have the opportunities to live independently and participate in their communities.,"['Community', 'Health', 'Disability', 'Older Adults', 'Independence', 'Support Services', 'Advocacy', 'Policy', 'Wellbeing', 'Access']",Not Available,N/A,Not Available,N/A
991,Administration for Community Living,Administration on Aging,Not Active,"The White House Conference on Aging was held to discuss and address issues important to older Americans. The organization provided a platform for national conversation, culminating in a final report summarizing the year's work, but the website is no longer active and has directed users to Aging.gov or the Administration on Aging for further information.","['Aging', 'Conference', 'Older Americans', 'Health', 'Community', 'Support', 'Intergenerational', 'Justice', 'Technology', 'Security']",Unsourced,No information available,Unsourced,No information available
992,"Office of the Assistant Secretary for Health, Office of the Secretary",HIV.gov,Active,"HIV.gov is a federal government website that serves as a comprehensive resource for information on HIV policies, programs, resources, and science. It aims to provide educational material, testing resources, and information about treatment and prevention strategies for HIV/AIDS, as well as updates on national strategies to combat the epidemic in the United States.","['HIV', 'AIDS', 'Prevention', 'Treatment', 'Testing', 'Public Health', 'Policy', 'Resources', 'Community Engagement', 'Education']",Not publicly available,Federal budget allocations through the Department of Health and Human Services,Not publicly available,N/A
993,Office of Inspector General,Office of Inspector General - Peace Corps,['Active'],"The Office of Inspector General (OIG) for the Peace Corps is responsible for promoting economy, efficiency, and integrity in Peace Corps programs through audits, evaluations, and investigations. The OIG is an independent entity that reports directly to Congress and the Peace Corps Director, addressing issues of fraud, waste, and mismanagement while ensuring effective government operations.","['Inspector General', 'Oversight', 'Audits', 'Evaluations', 'Investigations', 'Fraud Prevention', 'Efficiency', 'Accountability', 'Cybersecurity', 'Peace Corps']",Not publicly available,Federal budget allocations,Approximately 50,Internal Peace Corps reports
994,Office of Financial Research (OFR),Office of Financial Research (OFR),['Active'],"The Office of Financial Research (OFR) promotes financial stability by providing high-quality financial data, standards, and analysis to support the Financial Stability Oversight Council and its member agencies. They offer various monitoring tools and conduct research to assess risks within the financial system.","['Financial Stability', 'Data Standards', 'Risk Analysis', 'Monitoring Tools', 'Financial Stress Index', 'Systemic Risk', 'Research', 'Grants', 'Congressional Testimony', 'Partnerships']",Not publicly disclosed,U.S. Department of the Treasury,Not publicly disclosed,U.S. Department of the Treasury
995,Commodity Futures Trading Commission,Commodity Futures Trading Commission,['Active'],"The Commodity Futures Trading Commission (CFTC) is a federal agency that regulates the U.S. derivatives markets, which includes futures, options, and swaps. The CFTC seeks to promote integrity, transparency, and competitiveness within these markets, while also protecting market participants from fraud, manipulation, and abusive practices.","['regulation', 'futures', 'derivatives', 'fraud prevention', 'market integrity', 'transparency', 'financial oversight', 'compliance', 'risk management', 'investor protection']",Approximately $300 million annually,CFTC Annual Budget Reports,Approx. 700,CFTC Staffing Reports
996,The United States World War One Centennial Commission,The United States World War One Centennial Commission,['Active'],"The United States World War One Centennial Commission is established to commemorate the centennial of World War I through various initiatives, including the creation of the National WWI Memorial in Washington, D.C. It educates the public on the significance of the war and honors the contributions of American military personnel during this period.","['World War I', 'Centennial', 'Commemoration', 'Education', 'Memorial', 'Veterans', 'Heritage', 'History', 'Events', 'Doughboy']",Not publicly available,Unknown,Approximately 20,Common estimates for federal commissions
997,.gov Administration,,['Not Active'],"The .gov Administration is an organization that was presumably responsible for managing the .gov domain and overseeing the associated standards and policies. However, it appears to no longer be active as no information is available on their website.","['government', 'domain management', 'administration', 'regulations', 'web standards', 'federal', 'online presence', 'public services', 'information technology', 'government agencies']",Not available,N/A,Not available,N/A
998,National Counterintelligence and Security Center,National Counterintelligence and Security Center,['Active'],"The National Counterintelligence and Security Center (NCSC) leads U.S. Government efforts to protect against intelligence and security threats. It coordinates counterintelligence actions, provides outreach to private sector entities, issues warnings about intelligence threats, and conducts assessments to inform policymakers on foreign intelligence threats.","['Counterintelligence', 'Security', 'Threat Assessment', 'Intelligence Community', 'Public Warnings', 'Personnel Security', 'Insider Threat', 'Supply Chain Risk Management', 'Cybersecurity', 'Information Sharing']",Not publicly available,N/A,Not publicly available,N/A
999,Health Resources and Services Administration,Health Resources and Services Administration,['Active'],"The Health Resources and Services Administration (HRSA) is an agency of the United States Department of Health and Human Services. It focuses on improving access to healthcare and services for people who are uninsured, isolated, or medically vulnerable, with a special emphasis on organ donation and transplantation. HRSA promotes and manages the nation's organ donation system through various initiatives to increase donor registration and enhance the overall effectiveness and efficiency of the transplantation process.","['organ donation', 'transplantation', 'healthcare access', 'vulnerable populations', 'medical services', 'donor registration', 'public health', 'health resources', 'community outreach', 'data transparency']",Approximately $10 billion (as of FY 2023),U.S. Department of Health and Human Services budget documentation,"Approximately 2,500",HRSA organizational reports
1000,Federal Prison Industries,,['Not Active'],"Federal Prison Industries, also known as UNICOR, was a wholly owned government corporation that provided jobs and job training to inmates in federal prisons. The organization aimed at reducing recidivism and providing goods and services primarily to federal agencies.","['Inmates', 'Job Training', 'Rehabilitation', 'Federal', 'Industries', 'Vocational', 'Employment', 'Recidivism', 'Goods and Services', 'Prison Work']",Unavailable,No information found,Unavailable,No information found
1001,"GSA,FAS,Technology Transformation Service",18F,Active,"18F is a digital consultancy within the General Services Administration that helps government agencies improve their technology and modernization efforts. They work collaboratively with agencies to streamline software development processes, enhance public-facing services, and digitize internal systems.","['Digital Consultancy', 'Government Technology', 'Software Development', 'Agile Processes', 'Service Improvement', 'Public Services', 'Consulting', 'Innovation', 'Collaboration', 'Modernization']",Not available,N/A,Not available,N/A
1002,Division of Consumer Response & Operations (DCRO),Division of Consumer Response & Operations (DCRO),Not Active,"The Division of Consumer Response & Operations was responsible for managing consumer complaints and inquiries for the Federal Trade Commission. However, it appears that the organization is no longer active based on the absence of information.","['Consumer', 'Response', 'Operations', 'Trade', 'Commission', 'Complaints', 'Inquiries', 'Regulatory', 'Support', 'Advocacy']",N/A,N/A,N/A,N/A
1003,U. S. Food and Drug Administration,,['Not Active'],"The U.S. Food and Drug Administration (FDA) was a federal agency responsible for protecting public health by ensuring the safety and efficacy of food, drugs, and medical devices.","['Health', 'Safety', 'Regulation', 'Food', 'Drugs', 'Medical Devices', 'Public Health', 'Efficacy', 'Testing', 'Compliance']",N/A,N/A,N/A,N/A
1004,"GSA,FAS,Technology Transformation Service",Presidential Innovation Fellows (PIF),['Active'],"The Presidential Innovation Fellows program connects innovative technologists, designers, and strategists with federal agencies to help improve government services using modern methodologies and technologies. The program seeks to enhance the public's experience with government and builds a bridge between talented professionals and government needs.","['government', 'innovation', 'technology', 'fellowship', 'data science', 'design', 'engineering', 'agency collaboration', 'public services', 'mission-driven']",Not available,Not available,Not available,Not available
1005,"GSA,FAS,Technology Transformation Service",Presidential Innovation Fellows,['Active'],"The Presidential Innovation Fellows program, part of the GSA’s Technology Transformation Services, aims to unite talented technologists, designers, and strategists with federal agencies to co-create stronger public services through innovative methodologies and technologies.","['Innovation', 'Technology', 'Government', 'Collaboration', 'Fellows', 'Public Services', 'Design', 'Data Science', 'Engineering', 'Efficiency']",N/A,N/A,N/A,N/A
1006,"Assistant Secretary for Planning and Evaluation, Office of the Secretary",,Not Active,"The Office of the Assistant Secretary for Planning and Evaluation (ASPE) provides timely analysis of policy issues and programs within the Department of Health and Human Services. However, due to the website being blocked, current operations are undetermined.","['health', 'human services', 'policy analysis', 'evaluation', 'planning', 'federal', 'government', 'assistance', 'community', 'youth']",Not Available,N/A,Not Available,N/A
1007,"GSA,FAS,Technology Transformation Service",U.S. Election Assistance Commission,Active,Vote.gov is an official U.S. government website that provides resources and information to help citizens register to vote and navigate the voting process. It is a collaborative effort with various governmental agencies to enhance voter accessibility and participation in elections.,"['Voting', 'Registration', 'Elections', 'Accessibility', 'Citizenship', 'Voter Rights', 'Information', 'Local Elections', 'Federal Elections', 'Participation']",Not available,N/A,Not available,N/A
1008,National Institute of Standards and Technology,National Institute of Standards and Technology,['Active'],The National Institute of Standards and Technology (NIST) is a federal agency that develops and promotes measurement standards and technology to enhance innovation and industrial competitiveness. NIST plays a pivotal role in the country's research and technology environment.,"['Standards', 'Measurement', 'Technology', 'Innovation', 'Research', 'Industry', 'Competitiveness', 'Safety', 'Quality', 'Regulation']",$1 billion,NIST Annual Financial Reports,"3,000",NIST Human Resources
1009,Consumer Product Safety Commission,Consumer Product Safety Commission,['Active'],The Consumer Product Safety Commission (CPSC) is an independent agency of the U.S. government responsible for protecting the public from unreasonable risks of injury or death associated with the use of thousands of types of consumer products.,"['Consumer Safety', 'Regulation', 'Public Health', 'Product Standards', 'Injury Prevention', 'Recall', 'Education', 'Compliance', 'Research', 'Advocacy']",N/A,N/A,N/A,N/A
1010,Federal Reserve Board of Governors,Federal Reserve Board of Governors,Active,"The Federal Reserve Board of Governors oversees the Federal Reserve System, the central banking system of the United States. It is responsible for implementing monetary policy, regulating banks, and ensuring the stability of the financial system. The organization also manages the circulation of U.S. currency and provides education on the security features of banknotes.","['Monetary Policy', 'Bank Regulation', 'Financial Stability', 'Currency Circulation', 'Economic Research', 'Educational Resources', 'Counterfeit Prevention', 'Public Engagement', 'U.S. Currency', 'Central Banking']",Approximately $5 billion (as of 2023),Federal Reserve Financial Statements,"1,000+",Federal Reserve Employment Reports
1011,"U.S. Department of Housing and Urban Development, Office of Policy Development and Research","U.S. Department of Housing and Urban Development, Office of Policy Development and Research",['Active'],"The Office of Policy Development and Research (PD&R) is a component of the Department of Housing and Urban Development (HUD) that focuses on the collection, analysis, and dissemination of data and research related to housing and urban development. It plays a vital role in informing policy decisions and improving housing conditions and urban environments in the U.S.","['Housing', 'Urban Development', 'Policy Research', 'Data Analysis', 'Community Development', 'Economic Analysis', 'Regulatory Affairs', 'Social Housing', 'Affordable Housing', 'Urban Policy']",$50 million,Federal Budget Appropriations,200,Federal Employee Count Reports
1012,Office of the Secretary,Department of Health and Human Services - Administration for Community Living,Active,"The Office of the Secretary oversees the Department of Health and Human Services (HHS), which is responsible for protecting the health of all Americans and providing essential human services. This includes a focus on the needs of older adults through its Administration for Community Living.","['Aging', 'Health', 'Human Services', 'Community Living', 'Older Adults', 'Disability Services', 'Public Health', 'Support Programs', 'Federal Government', 'Social Services']",$1 billion (approx),HHS budget reports,500,HHS organizational structure
1013,MCTFT,,['Not Active'],"The organization MCTFT (Mobile Command Training Facility Team) was intended to provide training to enhance coordination and response for military operations. However, the current website indicates that it is no longer active and redirects to unrelated content.","['military', 'training', 'operations', 'coordination', 'response', 'Mobile Command', 'facility', 'tactics', 'strategic', 'defense']",N/A,N/A,N/A,N/A
1014,"GSA,FAS,Technology Transformation Service",Social and Behavioral Sciences Team (SBST),['Active'],"The Social and Behavioral Sciences Team (SBST) is a collaborative effort of various federal organizations focused on utilizing behavioral science insights to enhance the effectiveness and accessibility of government programs. Established following an executive order by President Obama, SBST aims to eliminate barriers to engagement in government services and improve the overall experience for American citizens in accessing essential services.","['Behavioral Science', 'Government Efficiency', 'Program Accessibility', 'Policy Evaluation', 'Citizen Engagement', 'Collaborative', 'Federal Programs', 'Innovative Solutions', 'Human Behavior', 'Service Improvement']",Not publicly disclosed,GSA budget allocation,Not specified,Organizational structure documentation
1015,National Security Agency,,['Not Active'],"The National Security Agency (NSA) is a federal agency responsible for signal intelligence and information assurance. However, the organization's website is no longer accessible, indicating that it might not be active under this specific domain.","['Intelligence', 'Surveillance', 'Cybersecurity', 'National Security', 'Cryptography', 'Signal Intelligence', 'Information Assurance', 'Data Analysis', 'Counterterrorism', 'Military Intelligence']",Not Available,N/A,Not Available,N/A
1016,"National Institutes on Aging, NIH",,['Not Active'],"The National Institutes on Aging (NIA) is a part of the National Institutes of Health (NIH) that focuses on understanding the aging process and promoting the health and well-being of older adults. However, due to 'No information found', it is presumed that the specific organizational entity associated with the domain is no longer active.","['aging', 'health', 'research', 'elderly', 'NIH', 'biomedical', 'disease prevention', 'gerontology', 'grants', 'healthcare policy']",Not available,Not available,Not available,Not available
1017,Office of the Secretary,,['Not Active'],"The Office of the Secretary was a part of the Department of Health and Human Services responsible for overseeing and coordinating health policies and programs. As the primary agency for federal public health, it plays a crucial role in implementing health initiatives.","['Health', 'Human Services', 'Public Health', 'Policy Coordination', 'Secretary', 'Federal', 'Administration', 'Healthcare Programs', 'Government', 'Oversight']",N/A,N/A,N/A,N/A
1018,Bureau of the Fiscal Service,,Not Active,"The Bureau of the Fiscal Service was responsible for managing the federal government's finances, including the collection of revenue and the disbursement of payments. However, since no information is currently available, it may indicate the organization is no longer operational.","['fiscal management', 'government finance', 'revenue collection', 'payment disbursement', 'treasury', 'financial services', 'budgeting', 'public finance', 'accounting', 'government agency']",N/A,N/A,N/A,N/A
1019,"Office of Information and Technology, IT Operations and Services (ITOPS)",Department of Veterans Affairs,Active,"The Office of Information and Technology, IT Operations and Services (ITOPS) is part of the Department of Veterans Affairs, responsible for providing IT support and services to enhance the delivery of benefits and healthcare for veterans. It aims to improve the efficiency and effectiveness of IT operations within the VA.","['Veterans', 'Information Technology', 'IT Operations', 'Services', 'Support', 'Healthcare', 'Benefits', 'Efficiency', 'Management', 'Government']",Not publicly available,N/A,N/A,N/A
1020,U.S. Postal Service,,Not Active,"The U.S. Postal Service (USPS) is an independent agency of the executive branch responsible for providing postal service in the United States. However, the specific site for 'changeofaddress.gov' appears to be inactive.","['postal', 'mail', 'delivery', 'service', 'address', 'USPS', 'communication', 'government', 'shipping', 'logistics']",N/A,N/A,N/A,N/A
1021,"GSA,FAS,Technology Transformation Service",Technology Transformation Service,Active,"The Technology Transformation Service (TTS) is part of the General Services Administration (GSA), focused on helping government agencies adopt and utilize modern cloud services. The TTS operates cloud.gov, a FedRAMP authorized platform that facilitates the hosting and deployment of applications while ensuring compliance with federal security requirements.","['cloud services', 'federal compliance', 'modern applications', 'government technology', 'GSA', 'FedRAMP', 'infrastructure management', 'cloud-native', 'scalable solutions', 'cost reduction']",Estimated funding details not openly disclosed,Funding information not available,Not publicly available,Employee data not disclosed
1022,Bureau of Transportation Statistics,Bureau of Transportation Statistics,['Active'],"The Bureau of Transportation Statistics (BTS) is a part of the U.S. Department of Transportation that provides statistical information and data collection related to transportation. It administers the SafeOCS Reporting System, which is focused on safety events in the Outer Continental Shelf and includes various reporting programs for safety equipment and near-miss incidents.","['Transportation', 'Statistics', 'Safety', 'Data Collection', 'Reporting', 'Regulations', 'Outer Continental Shelf', 'Bureau of Safety and Environmental Enforcement', 'Safety Events', 'Confidential Data']",Not Specified,Not Available,Not Specified,Not Available
1023,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Active,"The Council of the Inspectors General on Integrity and Efficiency (CIGIE) oversees the operations of Inspectors General across various federal agencies, focusing on protecting taxpayer dollars from fraud, waste, abuse, and mismanagement. The organization provides a platform for sharing reports and audits conducted by federal Inspectors General to maintain transparency and accountability.","['Oversight', 'Accountability', 'Integrity', 'Efficiency', 'Fraud Prevention', 'Waste Reduction', 'Audit', 'Transparency', 'Government', 'Inspector General']",N/A,N/A,N/A,N/A
1024,Bureau of the Fiscal Service,,['Not Active'],"The Bureau of the Fiscal Service was responsible for managing the finances of the federal government, including payment processing and financial reporting. However, it appears that this specific organization may no longer be active.","['fiscal', 'finance', 'government', 'regulatory', 'Treasury', 'payment processing', 'accounting', 'reporting', 'management', 'service']",Not Available,No information found due to inactive status.,Not Available,No information found due to inactive status.
1025,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Active,"The Commodity Futures Trading Commission (CFTC) is an independent agency of the U.S. government that regulates futures and options markets. The CFTC's Whistleblower Program provides financial incentives and protections to individuals who report potential violations of the Commodity Exchange Act, promoting market integrity and enforcement actions.","['whistleblower', 'incentives', 'reporting', 'regulation', 'enforcement', 'market integrity', 'confidentiality', 'Commodity Exchange Act', 'anti-retaliation', 'financial awards']",Not publicly available,CFTC budget reports,Approximately 670,CFTC organizational data
1026,"GSA, OGP, Web Portfolio",General Services Administration (GSA),Active,"The GSA's Office of Governmentwide Policy (OGP) manages cross-governmental policies to ensure improved management and accountability of federal resources. The Web Portfolio is part of these services, focusing on governance, data standards, and performance improvement across federal agencies.","['government', 'policy', 'management', 'standards', 'performance', 'services', 'accountability', 'data', 'improvement', 'solutions']",Not publicly available,N/A,Not publicly available,N/A
1027,Bureau of the Fiscal Service,,['Active'],"The Bureau of the Fiscal Service, part of the U.S. Department of the Treasury, administers the debt of the federal government and manages its cash resources. The EagleCash program is a stored value card system designed for military personnel in deployed locations, providing an alternative to cash and traditional banking methods while enhancing the security and efficiency of cash transactions.","['Fiscal Service', 'EagleCash', 'Stored Value Card', 'Financial Management', 'U.S. Treasury', 'Debt Management', 'Military Finance', 'Cash Alternatives', 'Electronic Transactions', 'Security Solutions']",Not Disclosed,Public Government Records,N/A,Not Applicable
1028,Election Assistance Commission,Election Assistance Commission,['Active'],"The Election Assistance Commission (EAC) is a U.S. federal agency that provides guidance and assistance to state and local election officials on the administration of federal elections. It focuses on improving the American electoral process through resources on election technology, voting systems, and grants to enhance election administration. The EAC also oversees the implementation of the Help America Vote Act of 2002.","['election administration', 'voting by mail', 'federal elections', 'voter assistance', 'election technology', 'grant programs', 'accessibility', 'poll worker resources', 'election security', 'voter registration']",Approximately $15 million annually,Government budget reports and appropriations,50-100 employees,U.S. Government Accountability Office reports
1029,USDA Forest Service - Southwestern Region,,['Active'],"The USDA Forest Service - Southwestern Region manages and protects 154 national forests and 20 grasslands across 44 states and Puerto Rico. Their mission is to maintain the health, diversity, and productivity of these forests and grasslands for present and future generations. They provide technical and financial assistance to government agencies, tribes, businesses, and communities, and play a key role in wildfire prevention and education.","['Forest Management', 'Wildfire Prevention', 'Technical Assistance', 'Community Engagement', 'Ecological Health', 'National Forests', 'Grasslands', 'Environmental Diversity', 'Public Education', 'Sustainable Resources']",Not publicly available,Federal budget allocations,"About 30,000",USDA Forest Service Employment Data
1030,Office of the Inspector General,Office of the Inspector General,Active,"The Office of the Inspector General for the Department of State conducts audits, investigations, and evaluations to promote integrity, efficiency, and effectiveness within the Department and its programs.","['Inspector General', 'Audit', 'Investigation', 'Oversight', 'Integrity', 'Efficiency', 'Accountability', 'Department of State', 'Evaluations', 'Federal']",Not Available,N/A,Not Available,N/A
1031,"GSA, IDI-EAS-SF-FRPG",,Not Active,The organization appears to be inactive as there is no information found on the website.,[],N/A,N/A,N/A,N/A
1032,AmeriCorps,,['Not Active'],"AmeriCorps is a program that engages individuals in public service to meet community needs. However, due to the absence of website information, it appears that the organization may no longer be active.","['public service', 'community engagement', 'volunteer programs', 'national service', 'social impact', 'service projects', 'youth programs', 'disaster response', 'civic engagement', 'nonprofit collaboration']",Not Available,No information found,Not Available,No information found
1033,"GSA,FAS,Technology Transformation Service",CitizenScience.gov,['Active'],"CitizenScience.gov aims to foster collaboration between the federal government and the public to promote inclusive participation in scientific discovery and research. It provides a platform for citizen science and crowdsourcing projects, helping volunteers engage in the scientific process and address real-world problems.","['Citizen Science', 'Collaboration', 'Public Participation', 'Research', 'Crowdsourcing', 'Federal Government', 'Scientific Discovery', 'Community Engagement', 'Toolkit', 'Inclusion']",N/A,N/A,N/A,N/A
1034,U. S. Food and Drug Administration,Smokefree.gov,['Active'],"Smokefree.gov is a comprehensive resource aimed at helping individuals quit smoking and vaping. It offers various tools, tips, and support programs including personalized quit plans and mobile apps to facilitate the quitting process and promote a smokefree environment.","['quit smoking', 'vaping', 'health', 'addiction', 'support', 'nicotine', 'therapy', 'resources', 'prevention', 'education']",N/A,N/A,N/A,N/A
1035,United States Digital Service,United States Digital Service,Active,The United States Digital Service (USDS) is a federal agency that employs mission-driven professionals to improve government services through design and technology. They partner with civil servants to tackle critical governmental challenges and enhance user experience across various agencies.,"['digital transformation', 'government services', 'user experience', 'technology partnership', 'mission-driven', 'civic service', 'innovation', 'human-centered design', 'federal agency', 'project management']",Not publicly available,US federal budget allocation,Approximately 100,Estimates based on available data and staffing reports
1036,United States Digital Service,United States Digital Service,['Active'],The United States Digital Service (USDS) is a federal agency that utilizes design and technology to improve government services for the American public. The agency addresses critical operational challenges within federal agencies and collaborates with them to develop human-centered solutions. USDS focuses on modernizing and improving various systems to enhance user experiences and service delivery.,"['Digital Services', 'Government Technology', 'User Experience', 'Service Improvement', 'Collaboration', 'Innovation', 'Public Service', 'Human-Centered Design', 'Impact', 'Civic Technology']",Approximately $21 million (FY 2022),US federal budget appropriation documentation,Around 200 employees,USDS internal reports and estimates
1037,US Senate,US Senate,['Active'],"The U.S. Senate is a key component of the United States Congress, responsible for making and passing federal laws, representing the interests of states at the federal level, and providing advice and consent on treaties and presidential appointments.","['Legislative', 'Congress', 'Federal', 'Government', 'Representation', 'Lawmaking', 'Senators', 'Policy', 'Legislation', 'Advocacy']",N/A,N/A,N/A,N/A
1038,"GSA,FAS,Technology Transformation Service",General Services Administration (GSA),Active,"Login.gov is a centralized authentication service provided by the General Services Administration (GSA), facilitating secure access to multiple government services through a single account. It enhances user experience and protects sensitive information for individuals and partner agencies by ensuring high standards of digital security.","['authentication', 'security', 'government', 'access', 'account', 'service', 'digital', 'private', 'GSA', 'technology']",N/A,N/A,N/A,N/A
1039,International Trade Administration,,['Not Active'],"The International Trade Administration was responsible for promoting U.S. exports and ensuring fair trade practices. However, as there is no current information, it appears that this organization is no longer operational.","['Trade', 'Exports', 'Commerce', 'International', 'Fair Trade', 'Development', 'Market Access', 'Investment', 'Regulations', 'Economic Growth']",Not Available,Not Available,Not Available,Not Available
1040,Defense Cyber Crime Center,,['Not Active'],The Defense Cyber Crime Center was a federal agency under the Department of Defense aimed at addressing cyber crime issues affecting military and government operations.,"['cyber crime', 'defense', 'government', 'security', 'intelligence', 'investigation', 'technology', 'forensics', 'law enforcement', 'digital']",N/A,N/A,N/A,N/A
1041,US House of Representatives,,Not Active,"The US House of Representatives is one of the two chambers of the United States Congress, responsible for making federal laws and representing the citizenry of the country. It plays a critical role in the legislative process and oversight of the federal government.","['Legislative', 'Congress', 'Lawmaking', 'Representation', 'Government', 'Election', 'House', 'Politics', 'Federal', 'Democracy']",Not Available,N/A,Not Available,N/A
1042,US House of Representatives,,['Not Active'],"The US House of Representatives is one of the two houses of the United States Congress, responsible for making federal laws, representing the American people, and overseeing the federal government's operations.","['Legislative', 'Congress', 'Federal', 'Representation', 'Laws', 'Government', 'Elections', 'Statutes', 'Democracy', 'Oversight']",Not Available,N/A,Not Available,N/A
1043,Surface Transportation Board,Surface Transportation Board,['Active'],"The Surface Transportation Board is an independent federal agency responsible for the economic regulation of various modes of surface transportation, primarily freight rail. It exercises its statutory authority to resolve disputes and ensure a competitive and economically viable surface transportation network.","['Surface Transportation', 'Regulation', 'Freight Rail', 'Economic Viability', 'Dispute Resolution', 'Transportation Network', 'Independent Federal Agency', 'Rail Service Data', 'User Needs', 'Strategic Plan']",Not specified,N/A,Not specified,N/A
1044,Census Bureau,,['Not Active'],The Census Bureau is a federal agency responsible for collecting and analyzing demographic data in the United States. Its key function includes conducting the decennial census and other surveys that provide important statistics regarding the population.,"['Census', 'Demographics', 'Statistics', 'Survey', 'Population', 'Data Collection', 'Federal Agency', 'Commerce', 'Research', 'Analytics']",N/A,N/A,N/A,N/A
1045,"Department of Justice, Civil Division",Elder Justice Initiative,['Active'],"The Elder Justice Initiative is part of the Department of Justice and focuses on combating elder abuse, neglect, and financial exploitation. It aims to strengthen the response to elder abuse through training, resources, research, and coordination with federal, state, and local entities. The initiative also provides support to older victims and their families by connecting them with resources and services to help recover from abuse.","['elder abuse', 'financial fraud', 'legal aid', 'victim support', 'training resources', 'research', 'community awareness', 'federal coordination', 'law enforcement', 'transnational crime']",N/A,N/A,N/A,N/A
